job_id,title,company,location,wage_range,type,employer_type,match_score,category,transferable_skills,notes
29,Forklift Operator,Fair Chance Logistics,Portland Metro,$22-$28/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Equipment operation, safety","Certification available, higher wages"
30,Packer,Distribution Centers,Portland/Hillsboro,$20-$24/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Speed, coordination","Fast-paced, good for high-energy workers"
31,Receiving Clerk,Warehouse Operations,Hillsboro/Portland,$20-$25/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Organization, documentation",Admin + hands-on hybrid role
32,Shipping and Receiving Specialist,Logistics Fair Chance,Portland Area,$21-$27/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Accuracy, systems","Detail-oriented, organized work"
33,Inventory Auditor,Retail/Warehouse Fair Chance,Portland Metro,$20-$26/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Analysis, accuracy","Attention to detail, numbers"
34,Material Handler,Manufacturing/Distribution,Hillsboro/Portland,$20-$25/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Physical labor, safety",Good for physical energy
35,Dock Worker,Logistics/Warehousing,Portland Metro,$21-$28/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Teamwork, coordination","Physical activity, teamwork"
36,Warehouse Supervisor (Growth Path),Fair Chance Logistics,Portland Area,$24-$32/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Leadership, strategic management",Management experience translates
37,QC Inspector (Warehouse),Manufacturing/Distribution,Hillsboro/Portland,$22-$28/hr,Full-time,Fair Chance,Good,Manufacturing/Production,"Standards, accuracy",Quality control expertise
38,Logistics Coordinator,Fair Chance Logistics,Portland/Remote,$22-$29/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Coordination, systems","Hybrid role, growing field"
39,Equipment Operator,Warehouse/Construction Fair Chance,Portland Metro,$23-$30/hr,Full-time,Fair Chance,Good,Manufacturing/Production,"Technical skills, safety","Training available, higher wages"
40,Sorting Station Operator,USPS/UPS Fair Chance,Portland Metro,$21-$26/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Organization, speed",Previous UPS experience beneficial
41,Shipping Clerk,Retail/Logistics Fair Chance,Hillsboro/Portland,$20-$26/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Documentation, accuracy","Attention to detail, organization"
42,Assembly Line Worker,Manufacturing Fair Chance,Portland/Hillsboro,$21-$27/hr,Full-time,Fair Chance,Good,Manufacturing/Production,"Focus, precision, discipline",Repetitive but structured work
43,Laborer (Non-Food/Construction),Fair Chance Construction/Warehousing,Portland Metro,$20-$28/hr,Full-time,Fair Chance,Good,Construction/Labor,"Physical labor, teamwork","Hands-on, outdoor work available"
44,Box Sorter,Shipping/Fulfillment,Portland/Hillsboro,$20-$23/hr,Full-time,Fair Chance,Good,Warehouse/Logistics,"Speed, teamwork","Entry-level, team environment"
45,Truck Unloader,Retail/Distribution Fair Chance,Portland Metro,$20-$26/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Physical stamina, coordination","Fast-paced, physical work"
46,Retail Sales Associate,Target/Walmart Fair Chance,Hillsboro/Portland,$20-$26/hr,Full-time/Part-time,Fair Chance,Excellent,Retail,"Customer service, sales","Direct experience, known fair chance employers"
47,Cashier (Non-Food Retail),Grocery/Retail Fair Chance,Portland Metro,$20-$23/hr,Full-time/Part-time,Fair Chance,Excellent,Retail,"Cash handling, customer interaction","7/11, ARCO background directly applicable"
48,Store Associate (Goodwill),Goodwill Industries,Portland/Hillsboro,$20-$26/hr,Full-time/Part-time,Fair Chance,Excellent,Retail,"Customer service, organization",Goodwill explicitly hires individuals with records
49,Stock Associate/Stocker,Retail Fair Chance,Portland/Hillsboro,$20-$25/hr,Full-time,Fair Chance,Good,Retail,"Organization, physical labor","Physical activity, organized work"
50,Department Manager (Retail),Retail Fair Chance,Portland Area,$23-$30/hr,Full-time,Fair Chance,Good,Retail,"Leadership, management, strategy",Leadership background valuable
51,Customer Service Specialist (Non-Food),Call Center Fair Chance,Portland/Hybrid,$20-$25/hr,Full-time,Fair Chance,Good,Customer Service (Non-Food),"Communication, problem-solving",Customer interaction without food service
52,Gas Station Attendant (Non-Food),Fuel Retailers Fair Chance,Portland/Hillsboro,$20-$23/hr,Full-time/Part-time,Fair Chance,Excellent,Retail,"Customer service, transactions","Direct ARCO experience, non-food focus"
53,Shift Supervisor (Retail),Retail Fair Chance,Portland/Hillsboro,$21-$27/hr,Full-time,Fair Chance,Good,Retail,"Leadership, coordination",Leadership opportunity
54,Visual Merchandiser,Retail Fair Chance,Portland Metro,$21-$27/hr,Full-time,Fair Chance,Good,Retail,"Visual thinking, design, strategy","Creative skill, eye for detail"
55,Loss Prevention Associate,Retail Fair Chance,Portland/Hillsboro,$22-$28/hr,Full-time,Fair Chance,Good,Retail,"Observation, strategy, psychology","Awareness, attention training"
56,Customer Service Manager,Retail Fair Chance,Portland Area,$23-$30/hr,Full-time,Fair Chance,Good,Customer Service (Non-Food),"Management, leadership, strategy",Leadership opportunities
57,POS Specialist,Retail Fair Chance,Portland/Hybrid,$21-$26/hr,Full-time,Fair Chance,Good,Retail,"Technology, systems, customer care",Tech + customer service blend
58,Inventory Specialist (Retail),Department Store Fair Chance,Portland Metro,$20-$26/hr,Full-time,Fair Chance,Good,Retail,"Accuracy, organization, systems","Organization, counting, attention"
59,Donation Center Attendant (Goodwill),Goodwill Industries,Portland/Hillsboro,$20-$24/hr,Full-time/Part-time,Fair Chance,Good,Retail,"Organization, customer service",Goodwill hiring entry-level
60,Production Associate (Goodwill),Goodwill Industries,Portland Metro,$20-$25/hr,Full-time,Fair Chance,Good,Manufacturing/Production,"Production, quality control",Hands-on production work
61,Wholesale Club Associate,Costco/Sam's Club Fair Chance,Portland Metro,$20-$27/hr,Full-time,Fair Chance,Good,Retail,"Customer service, teamwork",Known fair chance employers
62,Fleet Assistant (Non-Food),Transportation Fair Chance,Portland Metro,$21-$26/hr,Full-time,Fair Chance,Good,Transportation,"Coordination, organization",Fleet management support
63,Outlet Supervisor,Goodwill Industries,Portland Area,$21-$27/hr,Full-time,Fair Chance,Good,Retail,"Leadership, management, strategy",Leadership role
64,Retail Customer Advocate,Fair Chance Retailers,Portland/Hybrid,$20-$25/hr,Full-time,Fair Chance,Good,Customer Service (Non-Food),"Empathy, communication, psychology",Customer psychology focus
65,Merchandise Quality Reviewer,Retail Fair Chance,Portland Metro,$21-$27/hr,Full-time,Fair Chance,Good,Retail,"Standards, quality control","Quality standards, attention"
66,Cybersecurity Apprentice,Tech Training Through Defy Ventures,Portland Area,$22-$35/hr (post-training),Apprenticeship/Training,Fair Chance Training,Excellent,Tech/Cybersecurity,"Strategic thinking, tactical intelligence","Aligns with cybersecurity growth goal, bootcamp-style"
67,Google Career Certificates - IT Support Pathway,Google/Fortune Society Partnership,Remote/Portland,$22-$30/hr (post-certification),Training Pathway,Fair Chance Training,Excellent,Tech/Training,"Systems thinking, problem-solving","Free training, tech field entry"
68,Google Career Certificates - Data Analytics Pathway,Google/Fortune Society Partnership,Remote/Portland,$24-$32/hr (post-certification),Training Pathway,Fair Chance Training,Excellent,Tech/Data Science,"Analysis, strategic thinking","Free training, analytics focus"
69,The Last Mile Coding Program - Entry Level,The Last Mile (TLM),Portland Area,$25-$35/hr (post-training),Tech Training Pathway,Fair Chance Training,Excellent,Tech/Coding,"Logical thinking, strategic analysis","100% zero-reoffense rate, high-growth field, aligns with growth goals"
70,IT Help Desk Technician,Fair Chance IT Companies,Portland/Remote Hybrid,$22-$29/hr,Full-time,Fair Chance,Good,Tech/IT,"Problem-solving, communication, systems","Entry-level tech, growth potential"
71,Network Support Technician,Tech Fair Chance,Portland/Hybrid,$24-$31/hr,Full-time,Fair Chance,Good,Tech/IT,"Systems thinking, technical skills",Growing tech field
72,Defy Ventures Bootcamp - Entrepreneurship,Defy Ventures,Portland Area,$20-$30/hr (or business launch),Training/Placement,Fair Chance Training,Excellent,Business/Entrepreneurship,"Strategic planning, leadership, business acumen","Bootcamp-style, aligns with growth goals + strategic thinking"
73,Randstad Hire Hope Program,Randstad,Portland Area,$20-$24/hr (training) → $24-$30/hr (post-apprenticeship),Apprenticeship,Fair Chance Training,Excellent,Training/Placement,"Varies by track (trades, tech, operations)","12-week training + 23-week paid apprenticeship, fast-track advancement"
74,Kelly Services Kelly 33 Program,Kelly Services,Portland Metro,$20-$28/hr,Temp-to-Hire,Fair Chance Staffing,Excellent,Training/Placement,Professional development through various roles,"92% approval with records, broad placement opportunities"
75,WorkSource Oregon Reentry Program,WorkSource Oregon,Portland/Hillsboro,$20-$26/hr (various placements),Job Training/Placement,Fair Chance,Excellent,Training/Placement,"Career transition support, skills development","State program, comprehensive support, career guidance"
76,Center for Employment Opportunities (CEO),CEO (31+ cities),Portland Area (if available),$20-$25/hr (training wage),Paid Transitional Work,Fair Chance,Excellent,Training/Placement,"Job readiness, soft skills, confidence building","Largest reentry employer, paid training + job placement"
77,GEO Reentry Employment Services,GEO Reentry Connect,Portland Metro,$20-$26/hr,Job Placement Program,Fair Chance,Excellent,Training/Placement,"Career guidance, job search support","Career readiness + placement support, career counseling"
78,Registered Apprenticeship - HVAC/Electrician/Plumbing,Apprenticeship.gov Programs,Portland Metro,"$20-$32/hr (varies, increases with apprenticeship)",Apprenticeship,Fair Chance Training,Good,Trades/Apprenticeship,"Technical skills, hands-on expertise","Federal support, long-term earning potential ($50-$70/hr journeyman)"
79,SHRM Fair Chance Hiring Certificate Program,SHRM Foundation,Online/Portland,$21-$27/hr (with certification),Training Certification,Fair Chance Training,Good,Professional Development,"HR knowledge, professional credibility","Professional credential, 10-hour program"
80,Safer Foundation Placement Program,Safer Foundation,Portland Area,$20-$26/hr,Job Placement,Fair Chance,Good,Training/Placement,"Professional development, networking","Job training + placement, wraparound support"
81,Legal Action Center Placement,Legal Action Center,Portland/National,$20-$28/hr,Advocacy + Placement,Fair Chance,Good,Training/Placement,"Advocacy skills, legal knowledge",Policy-focused reentry organization
82,Root & Rebound Employment Support,Root & Rebound,California/Expanding,$20-$26/hr,Employment Support,Fair Chance,Good,Training/Placement,"Legal support, employment advocacy",Reentry legal + employment support
83,CareerOneStop Placement Services,U.S. Department of Labor,Portland Metro,$20-$26/hr (various jobs),Job Services,Government Fair Chance,Good,Training/Placement,"Career guidance, resource access","2,400+ centers nationwide, comprehensive support"
84,WOTC Tax Credit Employer Hiring,Employers Using Work Opportunity Tax Credit,Portland/National,$20-$26/hr,Direct Hire,Fair Chance Incentivized,Good,Direct Employment,Immediate hiring advantage,Employers get 40% tax credit for hiring (incentive for them)
85,Second Chance Inc. Training Program,Second Chance Inc.,Baltimore/Expanding,$20-$26/hr,Training/Placement,Fair Chance,Good,Trades/Construction,"Trade skills, technical expertise",Construction/building trades focus
86,Human Resources Coordinator,Fair Chance HR Departments,Portland/Hybrid,$22-$29/hr,Full-time,Fair Chance,Excellent,Human Resources,"Psychology, people management, strategic thinking","Psychology interest aligns, management background valuable"
87,Training Coordinator,Fair Chance Organizations,Portland/Hybrid,$21-$28/hr,Full-time,Fair Chance,Excellent,Training/Development,"Teaching, psychology, mentoring","10 years trainer experience, psychology alignment"
88,Community Outreach Specialist,Reentry Organizations,Portland/Community Based,$20-$27/hr,Full-time,Fair Chance,Excellent,Community Services,"Social insight, empathy, communication","Help others in reentry, psychology + sociology focus"
89,Case Manager (Reentry),Reentry Support Organizations,Portland,$22-$30/hr,Full-time,Fair Chance,Excellent,Social Services,"Empathy, psychology, strategic planning","Help others navigate reentry, psychology + sociology strength"
90,Peer Mentor/Specialist,"Reentry Programs (CEO, Defy, TLM, etc.)",Portland Area,$20-$26/hr,Full-time/Part-time,Fair Chance,Excellent,Social Services,"Empathy, lived experience, psychology","Lived experience valuable, help others succeed"
91,Business Development Associate,Fair Chance Businesses,Portland/Hybrid,$21-$28/hr,Full-time,Fair Chance,Good,Business,"Strategy, business acumen, growth","Business interest alignment, strategy focus"
92,Market Research Analyst,Market Research Fair Chance,Remote,$21-$28/hr,Full-time Remote,Fair Chance,Good,Research/Analysis,"Analysis, psychology, economics",Psychology/economics interest alignment
93,Business Analyst (Entry-Level),Consulting Fair Chance Firms,Portland/Hybrid,$23-$30/hr,Full-time,Fair Chance,Good,Business,"Strategy, analysis, business thinking",Business + analytical work
94,Operations Analyst,Fair Chance Operations,Portland/Hybrid,$22-$29/hr,Full-time,Fair Chance,Good,Operations,"Systems optimization, efficiency, strategy",Operations optimization from kitchen background
95,Program Coordinator (Fair Chance Programs),Reentry/Fair Chance Organizations,Portland,$20-$27/hr,Full-time,Fair Chance,Excellent,Social Services,"Coordination, systems thinking, empathy","Support reentry ecosystem, psychology + sociology skills"
96,Quality Assurance Specialist (Non-Tech),Fair Chance Organizations,Portland/Hybrid,$21-$27/hr,Full-time,Fair Chance,Good,Quality Assurance,"Quality control, attention to detail, standards",Standards + quality focus
97,Compliance Officer (Entry-Level),Fair Chance Businesses,Portland/Hybrid,$22-$29/hr,Full-time,Fair Chance,Good,Compliance/Legal,"Attention to detail, rule-following, strategic thinking",Rules + systems expertise from background
98,Honest Jobs Job Matching Platform User,Honest Jobs,Remote/National,$20-$28/hr (platform average),Job Matching Service,Fair Chance Platform,Excellent,Job Boards/Platforms,"Self-directed job search, access to fair chance employers","300,000+ jobs, 1,500+ verified employers, personalized matching"
99,ZipRecruiter Fair Chance Search,ZipRecruiter + Fair Chance Employers,Remote/National,$20-$28/hr,Job Board,Fair Chance Platform,Good,Job Boards/Platforms,"Direct access to opportunities, self-directed search","Easy filtering for fair chance positions, broad employer network"
100,Construction/Building Trades Apprenticeship (Career Change),Various Union/Fair Chance Programs,Portland Metro,$20-$32/hr (apprenticeship) → $50-$70+/hr (journeyman),Apprenticeship,Fair Chance Training,Excellent,Trades/Apprenticeship,"Physical skills, technical expertise, craftsmanship","Highest long-term earning potential, hands-on work, structured training"
