job_id,company,role,wage,barrier_level,background_check,fair_chance,hiring_process,verified,key_pro,key_con,employee_sentiment
19,Upwork (Freelance Marketplace),Data Entry / Virtual Assistant / Writer / Coder,$15-$50/hr+ (self-determined),Very Low - Self-determined pricing,No (for freelancer),True,"Create profile, bid on projects, get hired by clients",True,No background check,Highly competitive,"Great for flexible work but competitive. Start low, build reputation, raise rates."
20,Fiverr (Freelance Marketplace),Virtual Assistant / Writer / Designer / Coder,$5-$100+/hr (self-determined by gig),Very Low,No,True,"Create gig, wait for buyers, deliver projects",True,No background check,Takes time to get reviews,Good for building passive income but requires initial hustle to get reviews.
21,Tutor.com / Chegg,Online Tutor / Homework Helper,$18-$25/hr,Low - Subject knowledge primary requirement,Yes (background + education verification),False,"Online application, subject verification, interview, background check",True,Decent pay,Background check required,Good supplemental income if you have subject expertise.
22,Preply (Online Tutoring),English Tutor / Subject Tutor,$6-$30/hr (highly variable; start very low),Low - No degree required but slow start,Yes,False,"Create profile, pass background check, market yourself",True,No degree required,"HIGH commission (33% initially, 18% eventually)","Flexible hours and set own rates, but commission is crazy. Start at $6/hr."
23,Lessonpal (Online Tutoring),Tutor,$15-$25/hr (varies),Low - Easier than Preply,Yes (background check required),False,"Apply online, background check, approval",True,Easier approval than Preply,Background check required,Great way to make extra cash. Good opportunity and easy acceptance.
24,UserBrain,Website Usability Tester,$10-$50 per test,Low,No,True,"Register, complete screener, get tests",True,100% satisfaction guarantee,Lower volume than UserTesting,Recommended over UserTesting due to satisfaction guarantee.
25,Fancy Hands (Virtual Assistant),Virtual Assistant,$2.75-$5+ per task (15-20 min tasks),Low - Very easy hiring,No,True,"Online application, 'test task', acceptance same day usually",True,Zero background check,Pay is VERY low ($2.75 per task average),Pay is terrible. Tasks supposed to be 15-20 min but take 30-45+ min for $2.75.
26,Honest Jobs Platform,Job Matching Service (Multiple Employers),$20-$28/hr average (varies by role),Low - Aggregates fair chance jobs,Varies by employer,True,"Register on Honest Jobs, browse 300k+ verified jobs, apply directly",True,"300,000+ verified fair chance jobs","Not a job itself, but job board",Honest Jobs is specifically for fair chance hiring. Very helpful resource.
27,GEO Reentry Connect,Job Matching Service (Multiple Employers),$20-$26/hr average (varies),Low - Reentry-specific job board,Varies by employer,True,"Register, browse 1,400+ employers, apply directly or through GEO",True,"1,400+ verified employers",Not direct employment; must apply to individual jobs,GEO Reentry Connect is helpful for reentry job search with support.
28,ZipRecruiter,Second Chance Employer Filter,$15-$55/hr (varies),Low - Filter available,Varies,True,"Search ZipRecruiter, use 'fair chance' filter, apply",True,1000+ second chance positions,Not all fair chance verified,ZipRecruiter fair chance filter is useful for finding employers.
29,Indeed.com,Fair Chance Job Search,$15-$30+/hr (varies),Low - Standard job board,Varies,True,"Search 'fair chance' or 'second chance', apply",True,Largest job board,Not all verified,Indeed has many fair chance jobs available.
30,FlexJobs.com,Remote Job Board,$15-$50/hr+ (varies),Low - subscription required ($14.95-44.95/month),Varies,False,"Subscribe, browse curated remote jobs, apply",True,All jobs verified (no scams),Requires subscription,FlexJobs is reputable and removes scams. Subscription worth it for quality.
